Year,VC_DSR_GDPLS,VC_DSR_LSGP,VC_DSR_AGLH,VC_DSR_HOLH,VC_DSR_CILN
2012.0,900280012.28,0.00098,900280012.28,,
2013.0,704391153.609,0.000771,704391153.609,,
2014.0,980674664.035,0.001154,980674664.035,,
2015.0,1394728642.3455,0.00162,1350175672.3455,,44552970.0
2016.0,964488708.07025,0.001043,736934403.07025,,227554305.0
2017.0,491251258.85,0.000484,491251258.85,,
2018.0,432797245.7875,0.000416,432797245.7875,,
2019.0,1285046970.0305,0.001148,434089147.5305,808756350.0,42201472.5
2020.0,,,,,
2021.0,,,,,
