Year,VC_DSR_MISS,VC_DSR_MORT,VC_DSR_MTMP,VC_DSR_MMHN,VC_DSR_DAFF,VC_DSR_IJILN,VC_DSR_PDAN,VC_DSR_PDYN,VC_DSR_PDLN
2012.0,1.0,95.0,0.6411,96.0,391.12839,449.0,38037.0,20083.0,
2013.0,3.0,75.0,0.51005,78.0,15.16407,145.0,1299.0,875.0,
2014.0,2.0,53.0,0.35239000000000004,55.0,197.74931,453.0,19227.0,11184.0,
2015.0,220.0,979.0,7.40913,1199.0,105.06879,160.0,14917.0,1926.0,
2016.0,6.0,57.0,0.38058,63.0,272.17717000000005,108.0,1560.0,748.0,42639.0
2017.0,300.0,15.0,1.86124,315.0,551.75459,26.0,36746.0,12243.0,44365.0
2018.0,316.0,684.0,6.7108300000000005,1000.0,152.48348,134.0,21661.0,927.0,
2019.0,81.0,19.0,0.56776,100.0,58.66689,1187.0,4573.0,4573.0,
2020.0,62.0,4896.0,27.588890000000006,4958.0,4529.55317,137243.0,472640.0,136551.0,67572.0
2021.0,,,,,,,,,
