UniqueID,TimePeriod,VC_DSR_AFFCT                         ,VC_DSR_DAFF                         ,VC_DSR_IJILN                         ,VC_DSR_MISS                         ,VC_DSR_MMHN                         ,VC_DSR_MORT                         ,VC_DSR_MTMP                         ,VC_DSR_PDAN                         ,VC_DSR_PDLN                         ,VC_DSR_PDYN                         
TimePeriod,1.0,0.5428339912013161,0.5374878393149598,0.5495952321856706,0.40980808992245604,0.5882651996072708,0.5557712664018255,0.5919617230761561,0.5315430564716153,0.9837463372238828,0.4859384323001174
VC_DSR_AFFCT                         ,0.5428339912013161,1.0,0.999907140419055,0.9939551168632492,-0.10816692872212548,0.9510674836936917,0.9626505263627261,0.9374498112678479,0.9974173271088939,0.9999826624883752,0.9930547443847217
VC_DSR_DAFF                         ,0.5374878393149598,0.999907140419055,1.0,0.9928256481879845,-0.10851020338414487,0.9494860227336755,0.9610933253616369,0.9358570712425951,0.9973275018093481,0.9999945984254941,0.9936742050272346
VC_DSR_IJILN                         ,0.5495952321856706,0.9939551168632492,0.9928256481879845,1.0,-0.13917366273840467,0.9611945518462744,0.9753846085897031,0.9485221060727616,0.9957739912650972,0.9980451006477608,0.9883883433340513
VC_DSR_MISS                         ,0.40980808992245604,-0.10816692872212548,-0.10851020338414487,-0.13917366273840467,1.0,0.07410379631684916,-0.008886249972243148,0.10692958194008413,-0.10136523213554723,-0.27754480953511346,-0.16290143898602671
VC_DSR_MMHN                         ,0.5882651996072708,0.9510674836936917,0.9494860227336755,0.9611945518462744,0.07410379631684916,1.0,0.996552654105628,0.9989523452245865,0.9613357696986522,0.9998673060111407,0.9347319394471402
VC_DSR_MORT                         ,0.5557712664018255,0.9626505263627261,0.9610933253616369,0.9753846085897031,-0.008886249972243148,0.996552654105628,1.0,0.9927713286591816,0.9723808731668996,0.9975855054005368,0.9508240326532803
VC_DSR_MTMP                         ,0.5919617230761561,0.9374498112678479,0.9358570712425951,0.9485221060727616,0.10692958194008413,0.9989523452245865,0.9927713286591816,1.0,0.9493714982548771,0.9999073591266788,0.9197059685281815
VC_DSR_PDAN                         ,0.5315430564716153,0.9974173271088939,0.9973275018093481,0.9957739912650972,-0.10136523213554723,0.9613357696986522,0.9723808731668996,0.9493714982548771,1.0,0.9999871320736745,0.9953421618891937
VC_DSR_PDLN                         ,0.9837463372238828,0.9999826624883752,0.9999945984254941,0.9980451006477608,-0.27754480953511346,0.9998673060111407,0.9975855054005368,0.9999073591266788,0.9999871320736745,1.0,0.999896694433489
VC_DSR_PDYN                         ,0.4859384323001174,0.9930547443847217,0.9936742050272346,0.9883883433340513,-0.16290143898602671,0.9347319394471402,0.9508240326532803,0.9197059685281815,0.9953421618891937,0.999896694433489,1.0
