UniqueID,TM_TAX_DMFN             AGR            ,TM_TAX_DMFN             ALP            ,TM_TAX_DMFN             ARM            ,TM_TAX_DMFN             CLO            ,TM_TAX_DMFN             IND            ,TM_TAX_DMFN             OIL            ,TM_TAX_DMFN             TEX            ,TM_TAX_DPRF             AGR            ,TM_TAX_DPRF             ALP            ,TM_TAX_DPRF             ARM            ,TM_TAX_DPRF             CLO            ,TM_TAX_DPRF             IND            ,TM_TAX_DPRF             OIL            ,TM_TAX_DPRF             TEX            
TM_TAX_DMFN             AGR            ,1.0,0.6149552357907125,-0.2295938876530963,0.14371192494323126,0.5866612644113374,,-0.33516112592917646,0.18419523947981536,0.4788389960242884,-0.21078547668683684,-0.1422051350326867,0.39979521643929594,,0.4273412916261049
TM_TAX_DMFN             ALP            ,0.6149552357907125,1.0,-0.2044310618981456,0.16980007509299724,0.9958721292741348,,-0.7214303598525187,-0.19553992459616246,-0.1735930757852991,-0.6212864159894945,-0.14231739298048285,0.5483350418586236,,0.4260159623863078
TM_TAX_DMFN             ARM            ,-0.2295938876530963,-0.2044310618981456,1.0,0.9074034699945751,-0.22680192213675815,,0.5562703112717642,-0.6380968022160756,-0.3667826183386464,-0.37795295492567593,0.9897324054885561,0.3402662023546129,,-0.028782912981676137
TM_TAX_DMFN             CLO            ,0.14371192494323126,0.16980007509299724,0.9074034699945751,1.0,0.13379624220790062,,0.27067963029734937,-0.6409895928222173,-0.2761375877371559,-0.6241165709383948,0.9361007987775638,0.5925029056028974,,0.1405426359058096
TM_TAX_DMFN             IND            ,0.5866612644113374,0.9958721292741348,-0.22680192213675815,0.13379624220790062,1.0,,-0.723040373279352,-0.20488914485360016,-0.22478416353221123,-0.5997722062412708,-0.1728066262464661,0.5253649550718202,,0.44142927001515603
TM_TAX_DMFN             OIL            ,,,,,,,,,,,,,,
TM_TAX_DMFN             TEX            ,-0.33516112592917646,-0.7214303598525187,0.5562703112717642,0.27067963029734937,-0.723040373279352,,1.0,0.08027507926467749,0.15803391763289057,0.5512095411530192,0.5431204181757769,-0.4720690209815924,,-0.370491977118341
TM_TAX_DPRF             AGR            ,0.18419523947981536,-0.19553992459616246,-0.6380968022160756,-0.6409895928222173,-0.20488914485360016,,0.08027507926467749,1.0,0.797085731617646,0.7171857740693485,-0.5740974238801035,-0.7627729707111841,,-0.5891302386816651
TM_TAX_DPRF             ALP            ,0.4788389960242884,-0.1735930757852991,-0.3667826183386464,-0.2761375877371559,-0.22478416353221123,,0.15803391763289057,0.797085731617646,1.0,0.499763623027666,-0.2753230873307875,-0.3790886127892343,,-0.31116002252944414
TM_TAX_DPRF             ARM            ,-0.21078547668683684,-0.6212864159894945,-0.37795295492567593,-0.6241165709383948,-0.5997722062412708,,0.5512095411530192,0.7171857740693485,0.499763623027666,1.0,-0.3915824906762147,-0.8846643846250704,,-0.42161273021685775
TM_TAX_DPRF             CLO            ,-0.1422051350326867,-0.14231739298048285,0.9897324054885561,0.9361007987775638,-0.1728066262464661,,0.5431204181757769,-0.5740974238801035,-0.2753230873307875,-0.3915824906762147,1.0,0.3367822969623676,,-0.06720910628888664
TM_TAX_DPRF             IND            ,0.39979521643929594,0.5483350418586236,0.3402662023546129,0.5925029056028974,0.5253649550718202,,-0.4720690209815924,-0.7627729707111841,-0.3790886127892343,-0.8846643846250704,0.3367822969623676,1.0,,0.7387792890863101
TM_TAX_DPRF             OIL            ,,,,,,,,,,,,,,
TM_TAX_DPRF             TEX            ,0.4273412916261049,0.4260159623863078,-0.028782912981676137,0.1405426359058096,0.44142927001515603,,-0.370491977118341,-0.5891302386816651,-0.31116002252944414,-0.42161273021685775,-0.06720910628888664,0.7387792890863101,,1.0
