,indicators,evr
0,13.1.3,0.9999999976857232
1,13.1.2,1.0
2,8.8.2,1.0
3,17.9.1,1.0
4,13.1.1,0.8969587188041233
5,3.b.1,0.5159440859081155
6,11.6.2,1.0
7,10.4.1,1.0
8,6.5.1,1.0
9,1.a.2,1.0
10,4.2.2,1.0
11,15.8.1,1.0
12,2.b.1,
13,7.1.1,1.0
14,3.d.2,1.0
15,17.18.3,
16,7.3.1,1.0
17,3.9.3,
18,7.1.2,1.0
19,17.18.2,
20,17.8.1,1.0
21,11.5.1,0.8969587188041233
22,4.5.1,0.9481310729754175
23,16.a.1,
24,6.2.1,0.9951758169305222
25,11.5.2,0.6381974336438511
26,12.4.2,1.0
27,8.9.1,1.0
28,3.8.2,0.9180195392085828
29,4.3.1,1.0
30,7.2.1,1.0
31,2.a.1,0.9021304824774886
32,6.4.2,1.0
33,6.6.1,0.7308095004131292
34,8.b.1,
35,3.8.1,1.0
36,10.5.1,0.6321355552275806
37,6.4.1,1.0
38,10.7.3,1.0
39,11.1.1,1.0
40,2.c.1,1.0
41,14.1.1,0.7431632015588948
42,1.1.1,1.0
43,12.c.1,0.9903738877755163
44,11.b.1,1.0
45,2.2.2,0.9857055448526812
46,9.5.2,1.0
47,3.4.1,1.0
48,15.5.1,1.0
49,8.3.1,1.0
50,1.5.4,0.9999999976857232
51,8.1.1,1.0
52,3.6.1,1.0
53,16.6.1,1.0
54,11.b.2,0.9999999976857232
55,2.2.1,0.9416145294457924
56,9.5.1,1.0
57,1.3.1,0.9771084620029247
58,12.a.1,1.0
59,7.a.1,1.0
60,17.17.1,0.6823573472673569
61,3.4.2,1.0
62,1.5.3,1.0
63,14.7.1,1.0
64,17.13.1,0.5334322531563561
65,3.2.1,0.9999251062038861
66,1.5.2,0.6381974336438511
67,9.1.2,1.0
68,5.b.1,1.0
69,15.1.1,0.9999999999986281
70,16.2.2,1.0
71,3.2.2,0.9999171187761127
72,17.4.1,1.0
73,1.5.1,0.8969587188041233
74,3.3.5,1.0
75,2.1.2,0.8943334281675256
76,15.6.1,0.8127113697301929
77,17.3.1,1.0
78,1.2.1,1.0
79,9.4.1,0.7045271619678969
80,7.b.1,1.0
81,12.b.1,0.689514834447351
82,2.1.1,0.9984906506764738
83,17.1.1,0.9138887383226846
84,8.2.1,1.0
85,17.3.2,1.0
86,10.c.1,1.0
87,3.3.3,1.0
88,2.5.1,1.0
89,1.4.1,0.9959484103941841
90,3.3.2,1.0
91,16.3.2,1.0
92,2.5.2,1.0
93,15.2.1,0.8628960875501048
